draft_slot,pick_no,picked_by,reactions,roster_id,round,player_name,team_pos,username,team_name
8,104,1149090002895323136,,8,9,Jaden Ivey,"DET, SG",ImReallyHarry,Hasheem Team To Beat
9,105,1136806217688584192,,5,9,Keegan Murray,"SAC, PF",jstrobe,Go Kart Melo
10,106,1148324770803617792,,6,9,Donte DiVincenzo,"MIN, SG",theadambomb98,KATastrophe Krew
11,107,1142296883147206656,,2,9,Immanuel Quickley,"TOR, PG",njerickson,Chetinyahu’s Iron Dong
12,108,1129636789460983808,,9,9,Toumani Camara,"POR, SF",wags707,(PAO)nd town
12,109,1129636789460983808,,9,10,Dejounte Murray,"NOP, PG",wags707,(PAO)nd town
11,110,1142296883147206656,,2,10,Onyeka Okongwu,"ATL, C",njerickson,Chetinyahu’s Iron Dong
10,111,1148324770803617792,,6,10,Kevin Porter,"MIL, PG",theadambomb98,KATastrophe Krew
9,112,1136806217688584192,,5,10,Aaron Gordon,"DEN, PF",jstrobe,Go Kart Melo
8,113,1149090002895323136,,8,10,Ace Bailey,"UTA, SF",ImReallyHarry,Hasheem Team To Beat
7,114,1150898281216778240,,12,10,Donovan Clingan,"POR, C",GraftonCarlson,Edge til i Combe
6,115,1149394820675428352,,10,10,Bobby Portis,"MIL, C",nuggetchef,furries for murray
5,116,1142496328673558528,,4,10,Zach Edey,"MEM, C",BamAddABio,R.I.C.O Harrison
4,117,1122386008709910528,,1,10,Kel'el Ware,"MIA, C",popsharky,Chetsteins island 
3,118,1130198569467789312,,7,10,Keyonte George,"UTA, PG",jpelwell,Kawhi am i winning?
2,119,1150875537964101632,,11,10,Tari Eason,"HOU, PF",xonicboom,Fat Slovenian Revenge 
1,120,1141611942496280576,,3,10,Bradley Beal,"LAC, SG",ChedddaBob,FentMachines2:HorseAutism
1,121,1141611942496280576,,3,11,Jalen Suggs,"ORL, PG",ChedddaBob,FentMachines2:HorseAutism
2,122,1150875537964101632,,11,11,Kyrie Irving,"DAL, PG",xonicboom,Fat Slovenian Revenge 
3,123,1130198569467789312,,7,11,Nic Claxton,"BKN, C",jpelwell,Kawhi am i winning?
4,124,1122386008709910528,,1,11,Aaron Nesmith,"IND, SF",popsharky,Chetsteins island 
5,125,1142496328673558528,,4,11,P.J. Washington,"DAL, PF",BamAddABio,R.I.C.O Harrison
6,126,1149394820675428352,,10,11,Dereck Lively,"DAL, C",nuggetchef,furries for murray
7,127,1150898281216778240,,12,11,Jrue Holiday,"POR, PG",GraftonCarlson,Edge til i Combe
8,128,1149090002895323136,,8,11,Jabari Smith,"HOU, PF",ImReallyHarry,Hasheem Team To Beat
9,129,1136806217688584192,,5,11,Jayson Tatum,"BOS, SF",jstrobe,Go Kart Melo
10,130,1148324770803617792,,6,11,Bilal Coulibaly,"WAS, PF",theadambomb98,KATastrophe Krew
11,131,1142296883147206656,,2,11,Wendell Carter,"ORL, C",njerickson,Chetinyahu’s Iron Dong
12,132,1129636789460983808,,9,11,Scoot Henderson,"POR, PG",wags707,(PAO)nd town
12,133,1129636789460983808,,9,12,Klay Thompson,"DAL, SF",wags707,(PAO)nd town
11,134,1142296883147206656,,2,12,Daniel Gafford,"DAL, C",njerickson,Chetinyahu’s Iron Dong
10,135,1148324770803617792,,6,12,Kyle Kuzma,"MIL, PF",theadambomb98,KATastrophe Krew
9,136,1136806217688584192,,5,12,Collin Sexton,"CHA, SG",jstrobe,Go Kart Melo
8,137,1149090002895323136,,8,12,Zaccharie Risacher,"ATL, SF",ImReallyHarry,Hasheem Team To Beat
7,138,1150898281216778240,,12,12,Yves Missi,"NOP, C",GraftonCarlson,Edge til i Combe
6,139,1149394820675428352,,10,12,Quentin Grimes,"PHI, PG",nuggetchef,furries for murray
5,140,1142496328673558528,,4,12,Jonas Valančiūnas,"DEN, C",BamAddABio,R.I.C.O Harrison
4,141,1122386008709910528,,1,12,Cam Whitmore,"WAS, PF",popsharky,Chetsteins island 
3,142,1130198569467789312,,7,12,Jonathan Kuminga,"GSW, PF",jpelwell,Kawhi am i winning?
2,143,1150875537964101632,,11,12,Brook Lopez,"LAC, C",xonicboom,Fat Slovenian Revenge 
1,144,1141611942496280576,,3,12,Chris Paul,"LAC, PG",ChedddaBob,FentMachines2:HorseAutism
1,145,1141611942496280576,,3,13,Bub Carrington,"WAS, PG",ChedddaBob,FentMachines2:HorseAutism
2,146,1150875537964101632,,11,13,Kelly Oubre,"PHI, PF",xonicboom,Fat Slovenian Revenge 
3,147,1130198569467789312,,7,13,Dennis Schröder,"SAC, PG",jpelwell,Kawhi am i winning?
4,148,1122386008709910528,,1,13,Jared McCain,"PHI, SG",popsharky,Chetsteins island 
5,149,1142496328673558528,,4,13,Jeremy Sochan,"SAS, PF",BamAddABio,R.I.C.O Harrison
6,150,1149394820675428352,,10,13,T.J. McConnell,"IND, PG",nuggetchef,furries for murray
7,151,1150898281216778240,,12,13,Ayo Dosunmu,"CHI, SG",GraftonCarlson,Edge til i Combe
8,152,1149090002895323136,,8,13,Reed Sheppard,"HOU, PG",ImReallyHarry,Hasheem Team To Beat
9,153,1136806217688584192,,5,13,Luguentz Dort,"OKC, SF",jstrobe,Go Kart Melo
10,154,1148324770803617792,,6,13,Cole Anthony,"MIL, PG",theadambomb98,KATastrophe Krew
11,155,1142296883147206656,,2,13,Jaylen Wells,"MEM, SF",njerickson,Chetinyahu’s Iron Dong
12,156,1129636789460983808,,9,13,Jerami Grant,"POR, PF",wags707,(PAO)nd town
12,157,1129636789460983808,,9,14,Clint Capela,"HOU, C",wags707,(PAO)nd town
